,modelName,crazing,inclusion,patches,pitted_surface,rolled-in_scale,scratches,accuracy,macro avg,weighted avg
precision,resnet18,0.9642857142857143,0.9808917197452229,0.9842931937172775,0.945054945054945,0.9920634920634921,1.0,0.9789227166276346,0.977764844144442,0.9792936963856814
recall,resnet18,1.0,0.9685534591194969,0.9740932642487047,0.9885057471264368,0.946969696969697,1.0,0.9789227166276346,0.9796870279107225,0.9789227166276346
f1-score,resnet18,0.9818181818181818,0.9746835443037974,0.9791666666666666,0.9662921348314607,0.9689922480620154,1.0,0.9789227166276346,0.9784921292803537,0.97890256222487
support,resnet18,162.0,159.0,193.0,87.0,132.0,121.0,0.9789227166276346,854.0,854.0
