,crazing,inclusion,patches,pitted_surface,rolled-in_scale,scratches,accuracy,macro avg,weighted avg
precision,0.8307692307692308,0.98125,0.9895287958115183,0.9662921348314607,0.9795918367346939,1.0,0.949648711943794,0.9579053330244839,0.95545194514702
recall,1.0,0.9874213836477987,0.9792746113989638,0.9885057471264368,0.7272727272727273,1.0,0.949648711943794,0.9470790782409878,0.949648711943794
f1-score,0.907563025210084,0.9843260188087775,0.984375,0.9772727272727273,0.8347826086956521,1.0,0.949648711943794,0.9480532299978734,0.9481632947250381
support,162.0,159.0,193.0,87.0,132.0,121.0,0.949648711943794,854.0,854.0
