,crazing,inclusion,patches,pitted_surface,rolled-in_scale,scratches
crazing,0.9938271604938271,0.0,0.006172839506172839,0.0,0.0,0.0
inclusion,0.006289308176100629,0.5911949685534591,0.018867924528301886,0.2138364779874214,0.0,0.16981132075471697
patches,0.015544041450777202,0.0051813471502590676,0.8756476683937824,0.015544041450777202,0.0,0.08808290155440414
pitted_surface,0.06896551724137931,0.011494252873563218,0.04597701149425287,0.5747126436781609,0.05747126436781609,0.2413793103448276
rolled-in_scale,0.2878787878787879,0.0,0.0,0.0,0.7121212121212122,0.0
scratches,0.024793388429752067,0.0,0.256198347107438,0.008264462809917356,0.0,0.7107438016528925
