,modelName,crazing,inclusion,patches,pitted_surface,rolled-in_scale,scratches,accuracy,macro avg,weighted avg
precision,vit_b_16,0.7594339622641509,0.9791666666666666,0.8125,0.5681818181818182,0.9494949494949495,0.5695364238410596,0.765807962529274,0.7730523034081075,0.7953247783216771
recall,vit_b_16,0.9938271604938271,0.5911949685534591,0.8756476683937824,0.5747126436781609,0.7121212121212122,0.7107438016528925,0.765807962529274,0.7430412424822223,0.765807962529274
f1-score,vit_b_16,0.8609625668449198,0.7372549019607844,0.8428927680798005,0.5714285714285714,0.8138528138528138,0.6323529411764706,0.765807962529274,0.7431240938905601,0.7646783752988914
support,vit_b_16,162.0,159.0,193.0,87.0,132.0,121.0,0.765807962529274,854.0,854.0
